Country_Name,Year,Index,Arrivals,Receipts,Expenditures,Population,Balance,Arrivals_zscore,Receipts_zscore,Expenditures_zscore,Population_zscore,Balance_zscore
Afghanistan,2015,Afghanistan-2015,0,86000000,151000000,33831764,-65000000,-0.3967,-0.3459,-0.3545,-0.0302,-0.1618
Afghanistan,2016,Afghanistan-2016,0,62000000,89000000,34700612,-27000000,-0.3967,-0.3471,-0.3584,-0.0229,-0.1574
Afghanistan,2017,Afghanistan-2017,0,16000000,130000000,35688935,-114000000,-0.3967,-0.3493,-0.3558,-0.0147,-0.1675
Afghanistan,2018,Afghanistan-2018,0,50000000,226000000,36743039,-176000000,-0.3967,-0.3477,-0.3497,-0.0058,-0.1747
Afghanistan,2019,Afghanistan-2019,0,85000000,168000000,37856121,-83000000,-0.3967,-0.3459,-0.3534,0.0035,-0.1639
Afghanistan,2020,Afghanistan-2020,0,75000000,49000000,39068979,26000000,-0.3967,-0.3464,-0.3609,0.0136,-0.1512
Albania,2015,Albania-2015,4131000,1613000000,1311000000,2880703,302000000,-0.2275,-0.2705,-0.2812,-0.2891,-0.1191
Albania,2016,Albania-2016,4736000,1821000000,1338000000,2876101,483000000,-0.2027,-0.2602,-0.2795,-0.2891,-0.098
Albania,2017,Albania-2017,5118000,2050000000,1473000000,2873457,577000000,-0.1871,-0.2489,-0.271,-0.2891,-0.087
Albania,2018,Albania-2018,5927000,2306000000,1750000000,2866376,556000000,-0.154,-0.2363,-0.2535,-0.2892,-0.0895
Albania,2019,Albania-2019,6406000,2458000000,1852000000,2854191,606000000,-0.1343,-0.2288,-0.2471,-0.2893,-0.0837
Albania,2020,Albania-2020,2658000,1243000000,805000000,2837849,438000000,-0.2879,-0.2888,-0.3132,-0.2894,-0.1032
Algeria,2015,Algeria-2015,1710000,347000000,762000000,40019529,-415000000,-0.3267,-0.333,-0.3159,0.0216,-0.2026
Algeria,2016,Algeria-2016,2039000,246000000,556000000,40850721,-310000000,-0.3132,-0.338,-0.3289,0.0285,-0.1904
Algeria,2017,Algeria-2017,2451000,171000000,632000000,41689299,-461000000,-0.2963,-0.3417,-0.3241,0.0355,-0.2079
Algeria,2018,Algeria-2018,2657000,196500000,542000000,42505035,-345500000,-0.2879,-0.3404,-0.3298,0.0423,-0.1945
Algeria,2019,Algeria-2019,2371000,140000000,670000000,43294546,-530000000,-0.2996,-0.3432,-0.3217,0.049,-0.216
Algeria,2020,Algeria-2020,591000,50000000,272000000,44042091,-222000000,-0.3725,-0.3477,-0.3468,0.0552,-0.1801
Angola,2015,Angola-2015,592000,1171000000,389000000,28157798,782000000,-0.3725,-0.2923,-0.3394,-0.0776,-0.0632
Angola,2016,Angola-2016,397000,628000000,823000000,29183070,-195000000,-0.3805,-0.3191,-0.312,-0.0691,-0.177
Angola,2017,Angola-2017,261000,884000000,1216000000,30234839,-332000000,-0.386,-0.3065,-0.2872,-0.0603,-0.1929
Angola,2018,Angola-2018,218000,557000000,762000000,31297155,-205000000,-0.3878,-0.3226,-0.3159,-0.0514,-0.1781
Angola,2019,Angola-2019,218000,395000000,717000000,32375632,-322000000,-0.3878,-0.3306,-0.3187,-0.0424,-0.1917
Angola,2020,Angola-2020,337200,19000000,691000000,33451132,-672000000,-0.3829,-0.3492,-0.3204,-0.0334,-0.2325
Antigua And Barbuda,2015,Antigua And Barbuda-2015,894000,802000000,95000000,89409,707000000,-0.3601,-0.3105,-0.358,-0.3124,-0.0719
Antigua And Barbuda,2016,Antigua And Barbuda-2016,874000,844000000,101000000,89969,743000000,-0.3609,-0.3085,-0.3576,-0.3124,-0.0677
Antigua And Barbuda,2017,Antigua And Barbuda-2017,1040000,820000000,106000000,90468,714000000,-0.3541,-0.3096,-0.3573,-0.3124,-0.0711
Antigua And Barbuda,2018,Antigua And Barbuda-2018,1064000,854000000,111000000,90926,743000000,-0.3531,-0.308,-0.357,-0.3124,-0.0677
Antigua And Barbuda,2019,Antigua And Barbuda-2019,1035000,992000000,119000000,91364,873000000,-0.3543,-0.3011,-0.3565,-0.3124,-0.0526
Antigua And Barbuda,2020,Antigua And Barbuda-2020,384500,416000000,35000000,91846,381000000,-0.381,-0.3296,-0.3618,-0.3124,-0.1099
Argentina,2015,Argentina-2015,6816000,5441000000,9348000000,43477012,-3907000000,-0.1175,-0.0815,0.2261,0.0505,-0.6093
Argentina,2016,Argentina-2016,6668000,5466000000,12273000000,43900313,-6807000000,-0.1236,-0.0802,0.4107,0.054,-0.9471
Argentina,2017,Argentina-2017,6711000,5830000000,14180000000,44288894,-8350000000,-0.1218,-0.0622,0.5311,0.0573,-1.1268
Argentina,2018,Argentina-2018,6942000,5999000000,13084000000,44654882,-7085000000,-0.1124,-0.0539,0.4619,0.0603,-0.9795
Argentina,2019,Argentina-2019,7399000,5654000000,9845000000,44973465,-4191000000,-0.0937,-0.0709,0.2574,0.063,-0.6424
Argentina,2020,Argentina-2020,6907200,1702000000,2746000000,45191965,-1044000000,-0.1138,-0.2661,-0.1907,0.0648,-0.2758
Armenia,2015,Armenia-2015,1192000,956000000,1057000000,3004600,-101000000,-0.3479,-0.3029,-0.2973,-0.288,-0.166
Armenia,2016,Armenia-2016,1260000,1037000000,1033000000,2992300,4000000,-0.3451,-0.2989,-0.2988,-0.2881,-0.1538
Armenia,2017,Armenia-2017,1495000,1224000000,1218000000,2979400,6000000,-0.3355,-0.2897,-0.2871,-0.2882,-0.1535
Armenia,2018,Armenia-2018,1652000,1358000000,1335000000,2969000,23000000,-0.3291,-0.2831,-0.2797,-0.2883,-0.1516
Armenia,2019,Armenia-2019,1894000,1553000000,1543000000,2962500,10000000,-0.3191,-0.2734,-0.2666,-0.2884,-0.1531
Armenia,2020,Armenia-2020,375000,303000000,330000000,2961500,-27000000,-0.3814,-0.3352,-0.3432,-0.2884,-0.1574
Australia,2015,Australia-2015,7449000,36249000000,34071000000,23815995,2178000000,-0.0916,1.4398,1.7866,-0.114,0.0994
Australia,2016,Australia-2016,8269000,39059000000,35718000000,24190907,3341000000,-0.058,1.5786,1.8906,-0.1108,0.2349
Australia,2017,Australia-2017,8815000,43975000000,39710000000,24592588,4265000000,-0.0357,1.8213,2.1426,-0.1075,0.3425
Australia,2018,Australia-2018,9246000,47327000000,42439000000,24963258,4888000000,-0.018,1.9869,2.3148,-0.1044,0.4151
Australia,2019,Australia-2019,9466000,47953000000,41345000000,25334826,6608000000,-0.009,2.0178,2.2458,-0.1013,0.6154
Australia,2020,Australia-2020,1828000,26234000000,7654000000,25649248,18580000000,-0.3219,0.9453,0.1191,-0.0986,2.0099
Austria,2015,Austria-2015,26728000,20422000000,11337000000,8642699,9085000000,0.6981,0.6583,0.3516,-0.2409,0.904
Austria,2016,Austria-2016,28121000,20965000000,11634000000,8736668,9331000000,0.7551,0.6851,0.3704,-0.2401,0.9326
Austria,2017,Austria-2017,29460000,22424000000,12878000000,8797566,9546000000,0.81,0.7572,0.4489,-0.2396,0.9577
Austria,2018,Austria-2018,30816000,25413000000,14109000000,8840521,11304000000,0.8655,0.9048,0.5266,-0.2392,1.1624
Austria,2019,Austria-2019,31884000,25924000000,13922000000,8879920,12002000000,0.9093,0.93,0.5148,-0.2389,1.2437
Austria,2020,Austria-2020,15091000,15362000000,5551000000,8916864,9811000000,0.2214,0.4084,-0.0136,-0.2386,0.9885
Azerbaijan,2015,Azerbaijan-2015,2006000,2535000000,2743000000,9649341,-208000000,-0.3146,-0.225,-0.1908,-0.2324,-0.1785
Azerbaijan,2016,Azerbaijan-2016,2249000,2855000000,2593000000,9757812,262000000,-0.3046,-0.2092,-0.2003,-0.2315,-0.1237
Azerbaijan,2017,Azerbaijan-2017,2697000,3214000000,2803000000,9854033,411000000,-0.2863,-0.1914,-0.1871,-0.2307,-0.1064
